"","title","rank","studio","lifetime_gross","year","omdb.Awards","omdb.Genre","omdb.Metascore","omdb.imdbRating"
"1207","Escape Plan",2975,"LG/S",25135965,2013,NA,NA,NA,NA
"1208","Escape to Witch Mountain",3414,"BV",2e+07,1975,NA,NA,NA,NA
"1209","Eternal Sunshine of the Spotless Mind",2372,"Focus",34400301,2004,NA,NA,NA,NA
"1210","European Vacation",1694,"WB",49364621,1985,NA,NA,NA,NA
"1211","Eurotrip",3614,"DW",17771387,2004,NA,NA,NA,NA
"1212","Evan Almighty",706,"Uni.",100462298,2007,NA,NA,NA,NA
"1213","Eve's Bayou",3968,"Trim.",14842388,1997,NA,NA,NA,NA
"1214","Evening",4294,"Focus",12492481,2007,NA,NA,NA,NA
"1215","Event Horizon",2853,"Par.",26673242,1997,NA,NA,NA,NA
"1216","Ever After: A Cinderella Story",1209,"Fox",65705771,1998,NA,NA,NA,NA
"1217","Everest (2015)",1906,"Uni.",43482270,2015,NA,NA,NA,NA
"1218","Everest (IMAX)",831,"MFF",87178599,1998,NA,NA,NA,NA
"1219","Every Which Way But Loose",856,"WB",85196485,1978,NA,NA,NA,NA
"1220","Everybody's All-American",4273,"WB",12638294,1988,NA,NA,NA,NA
"1221","Everybody's Fine",4773,"Mira.",9208876,2009,NA,NA,NA,NA
"1222","Everyone's Hero",4011,"Fox",14523101,2006,NA,NA,NA,NA
"1223","Everyone Says I Love You",4704,"Mira.",9759200,1996,NA,NA,NA,NA
"1224","Everything You Always Wanted to Know About Sex, But Were Afraid to Ask",3591,"UA",18016290,1972,NA,NA,NA,NA
"1225","Everything, Everything",2388,"WB",34121140,2017,"1 win & 5 nominations.","Drama, Romance","52","6.4"
"1226","Evil Dead (2013)",1516,"TriS",54239856,2013,NA,NA,NA,NA
"1227","Evita",1671,"BV",50047179,1996,NA,NA,NA,NA
"1228","Evolution",2141,"DW",38345494,2001,NA,NA,NA,NA
"1229","Ex Machina",2953,"A24",25442958,2015,NA,NA,NA,NA
"1230","Excalibur",2345,"WB",34967437,1981,NA,NA,NA,NA
"1231","Excess Baggage",4012,"Sony",14515490,1997,NA,NA,NA,NA
"1232","Executive Decision",1452,"WB",56569216,1996,NA,NA,NA,NA
"1233","Exit Wounds",1602,"WB",51758599,2001,NA,NA,NA,NA
"1234","Exodus: Gods and Kings",1229,"Fox",65014513,2014,NA,NA,NA,NA
"1235","Exorcist II: The Heretic",2608,"WB",30749142,1977,NA,NA,NA,NA
"1236","Exorcist: The Beginning",1978,"WB",41821986,2004,NA,NA,NA,NA
"1237","Explorers",4692,"Par.",9873044,1985,NA,NA,NA,NA
"1238","Extract",4527,"Mira.",10823158,2009,NA,NA,NA,NA
"1239","Extraordinary Measures",4354,"CBS",12068313,2010,NA,NA,NA,NA
"1240","Extreme (IMAX)",4299,"Imax",12475172,1999,NA,NA,NA,NA
"1241","Extreme Measures",3669,"Sony",17380126,1996,NA,NA,NA,NA
"1242","Extreme Prejudice",4459,"TriS",11307844,1987,NA,NA,NA,NA
"1243","Extremely Loud & Incredibly Close",2537,"WB",31847881,2011,NA,NA,NA,NA
"1244","Extremities",4160,"Atl",13418091,1986,NA,NA,NA,NA
"1245","Eye for an Eye",2837,"Par.",26877589,1996,NA,NA,NA,NA
"1246","Eye in the Sky",3528,"BST",18704595,2016,NA,NA,NA,NA
"1247","Eye of the Beholder",3768,"Dest.",16500786,2000,NA,NA,NA,NA
"1248","Eye of the Needle",3638,"MGM",17583634,1981,NA,NA,NA,NA
"1249","Eyes of Laura Mars",3415,"Col.",2e+07,1978,NA,NA,NA,NA
"1250","Eyes Wide Shut",1476,"WB",55691208,1999,NA,NA,NA,NA
"1251","F.I.S.T.",3359,"UA",20388920,1978,NA,NA,NA,NA
"1252","F/X",3344,"Orion",20603715,1986,NA,NA,NA,NA
"1253","F/X 2",3294,"Orion",21082165,1991,NA,NA,NA,NA
"1254","Face/Off",584,"Par.",112276146,1997,NA,NA,NA,NA
"1255","Facing the Giants",4636,"IDP",10178331,2006,NA,NA,NA,NA
"1256","Fahrenheit 9/11",532,"Lions",119194771,2004,NA,NA,NA,NA
"1257","Failure to Launch",818,"Par.",88715192,2006,NA,NA,NA,NA
"1258","Fair Game (1995)",4429,"WB",11534477,1995,NA,NA,NA,NA
"1259","Fair Game (2010)",4731,"Sum.",9540691,2010,NA,NA,NA,NA
"1260","Fairy Tale: A True Story",4081,"Par.",14059077,1997,NA,NA,NA,NA
"1261","Fallen",2965,"WB",25232289,1998,NA,NA,NA,NA
"1262","Falling Down",2018,"WB",40903593,1993,NA,NA,NA,NA
"1263","Falling in Love",4482,"Par.",11129057,1984,NA,NA,NA,NA
"1264","Fame (1980)",3281,"MGM",21202829,1980,NA,NA,NA,NA
"1265","Fame (2009)",3171,"MGM",22455510,2009,NA,NA,NA,NA
"1266","Family Business",4341,"TriS",12195695,1989,NA,NA,NA,NA
"1267","Fantasia",994,"Dis.",76408097,1941,NA,NA,NA,NA
"1268","Fantasia 2000 (35mm & IMAX)",1326,"BV",60655420,2000,NA,NA,NA,NA
"1269","Fantastic Beasts and Where To Find Them",138,"WB",234037575,2016,NA,NA,NA,NA
"1270","Fantastic Four",1465,"Fox",56117548,2015,NA,NA,NA,NA
"1271","Fantastic Four (2005)",329,"Fox",154696080,2005,NA,NA,NA,NA
"1272","Fantastic Four: Rise of the Silver Surfer",440,"Fox",131921738,2007,NA,NA,NA,NA
"1273","Fantastic Mr. Fox",3308,"Fox",21002919,2009,NA,NA,NA,NA
"1274","Far and Away",1375,"Uni.",58883840,1992,NA,NA,NA,NA
"1275","Far From Heaven",3843,"Focus",15901849,2002,NA,NA,NA,NA
"1276","Far From Home: The Adventures of Yellow Dog",4407,"Fox",11642946,1995,NA,NA,NA,NA
"1277","Far from the Madding Crowd",4334,"FoxS",12236500,2015,NA,NA,NA,NA
"1278","Fargo",3021,"Gram.",24611975,1996,NA,NA,NA,NA
"1279","Fast & Furious 6",132,"Uni.",238679850,2013,"9 wins & 21 nominations.","Action, Crime, Thriller","61","7.1"
"1280","Fast and Furious",327,"Uni.",155064265,2009,"N/A","Comedy, Crime, Musical","N/A","6.2"
"1281","Fast Five",178,"Uni.",209837675,2011,"9 wins & 21 nominations.","Action, Crime, Thriller","66","7.3"
"1282","Fast Times at Ridgemont High",2822,"Uni.",27092880,1982,NA,NA,NA,NA
"1283","Faster",3107,"CBS",23240020,2010,NA,NA,NA,NA
"1284","Fat Albert",1727,"Fox",48116322,2004,NA,NA,NA,NA
"1285","Fatal Attraction",319,"Par.",156645693,1987,"Nominated for 6 Oscars. Another 7 wins & 16 nominations.","Drama, Thriller","67","6.9"
"1286","Fatal Beauty",4359,"MGM",12046526,1987,NA,NA,NA,NA
"1287","Fatal Instinct",4994,"MGM",7839327,1993,NA,NA,NA,NA
"1288","Father's Day",2740,"WB",28598376,1997,NA,NA,NA,NA
"1289","Father Figures",3654,"WB",17501244,2017,"N/A","Comedy","22","5.4"
"1290","Father of the Bride",809,"BV",89325780,1991,NA,NA,NA,NA
"1291","Father of the Bride Part II",989,"BV",76594107,1995,NA,NA,NA,NA
"1292","Fear",3322,"Uni.",20831000,1996,NA,NA,NA,NA
"1293","Fear and Loathing in Las Vegas",4546,"Uni.",10680275,1998,NA,NA,NA,NA
"1294","fear dot com",4188,"WB",13258249,2002,NA,NA,NA,NA
"1295","Fences",1414,"Par.",57682904,2016,NA,NA,NA,NA
"1296","Ferdinand",866,"Fox",84410380,2017,"Nominated for 1 Oscar. Another 2 wins & 15 nominations.","Animation, Adventure, Comedy","58","6.7"
"1297","Ferngully: The Last Rainforest",3019,"Fox",24650296,1992,NA,NA,NA,NA
"1298","Ferris Bueller's Day Off",1122,"Par.",70136369,1986,NA,NA,NA,NA
"1299","Fever Pitch",1965,"Fox",42071069,2005,NA,NA,NA,NA
"1300","Fiddler on the Roof",4598,"UA",10404330,1971,NA,NA,NA,NA
"1301","Field of Dreams",1244,"Uni.",64431625,1989,NA,NA,NA,NA
"1302","Fierce Creatures",4753,"Uni.",9381260,1997,NA,NA,NA,NA
"1303","Fifty Shades Darker",567,"Uni.",114581250,2017,"3 wins & 12 nominations.","Drama, Romance","33","4.6"
"1304","Fifty Shades Freed",707,"Uni.",100407760,2018,NA,NA,NA,NA
"1305","Fifty Shades of Black",4401,"ORF",11686940,2016,NA,NA,NA,NA
"1306","Fifty Shades of Grey",291,"Uni.",166167230,2015,"Nominated for 1 Oscar. Another 9 wins & 26 nominations.","Drama, Romance, Thriller","46","4.1"
"1307","Fight Club",2218,"Fox",37030102,1999,NA,NA,NA,NA
"1308","Fighting",3117,"Uni.",23091010,2009,NA,NA,NA,NA
"1309","Final Analysis",2742,"WB",28590665,1992,NA,NA,NA,NA
"1310","Final Destination",1545,"NL",53331147,2000,NA,NA,NA,NA
"1311","Final Destination 2",1773,"NL",46961214,2003,NA,NA,NA,NA
"1312","Final Destination 3",1521,"NL",54098051,2006,NA,NA,NA,NA
"1313","Final Destination 5",1949,"WB (NL)",42587643,2011,NA,NA,NA,NA
"1314","Final Fantasy: The Spirits Within",2513,"Sony",32131830,2001,NA,NA,NA,NA
"1315","Finding Dory",13,"BV",486295561,2016,"Nominated for 1 BAFTA Film Award. Another 15 wins & 42 nominations.","Animation, Adventure, Comedy, Family","77","7.3"
"1316","Finding Forrester",1599,"Sony",51804714,2000,NA,NA,NA,NA
"1317","Finding Nemo",36,"BV",380843261,2003,"Won 1 Oscar. Another 48 wins & 61 nominations.","Animation, Adventure, Comedy, Family, Fantasy","90","8.1"
"1318","Finding Neverland",1608,"Mira.",51680613,2004,NA,NA,NA,NA
"1319","Fire Birds",3978,"BV",14760451,1990,NA,NA,NA,NA
"1320","Fire Down Below",3799,"WB",16228448,1997,NA,NA,NA,NA
"1321","Fire in the Sky",3420,"Par.",19885552,1993,NA,NA,NA,NA
"1322","Fired Up",3691,"SGem",17231291,2009,NA,NA,NA,NA
"1323","Firefox",1784,"WB",46708276,1982,NA,NA,NA,NA
"1324","Firehouse Dog",4105,"Fox",13932383,2007,NA,NA,NA,NA
"1325","Fireproof",2425,"Gold.",33456317,2008,NA,NA,NA,NA
"1326","Firestarter",3710,"Uni.",17080167,1984,NA,NA,NA,NA
"1327","Firestorm",4932,"Fox",8165212,1998,NA,NA,NA,NA
"1328","Firewalker",4375,"Can.",11949484,1986,NA,NA,NA,NA
"1329","Firewall",1708,"WB",48751189,2006,NA,NA,NA,NA
"1330","First Blood",1763,"Orion",47212904,1982,NA,NA,NA,NA
"1331","First Daughter",4798,"Fox",9055921,2004,NA,NA,NA,NA
"1332","First Family",3916,"WB",15198912,1980,NA,NA,NA,NA
"1333","First Kid",2865,"BV",26491793,1996,NA,NA,NA,NA
"1334","First Knight",2191,"Sony",37600435,1995,NA,NA,NA,NA
"1335","First Man",2563,"Uni.",31493805,2018,NA,NA,NA,NA
"1336","First Monday in October",4297,"Par.",12480249,1981,NA,NA,NA,NA
"1337","First Sunday",2169,"SGem",37931869,2008,NA,NA,NA,NA
"1338","Fist Fight",2510,"WB (NL)",32187017,2017,"1 win.","Comedy","37","5.6"
"1339","Flags of Our Fathers",2416,"P/DW",33602376,2006,NA,NA,NA,NA
"1340","Flash Gordon",2819,"Uni.",27107960,1980,NA,NA,NA,NA
"1341","Flashdance",772,"Par.",92921203,1983,NA,NA,NA,NA
"1342","Flatliners",1307,"Col.",61489265,1990,"Nominated for 1 Oscar. Another 2 nominations.","Drama, Horror, Sci-Fi","55","6.6"
"1343","Flatliners (2017)",3735,"Sony",16883115,2017,NA,NA,NA,NA
"1344","Fled",3697,"MGM",17193231,1996,NA,NA,NA,NA
"1345","Flesh and Bone",4710,"Par.",9709451,1993,NA,NA,NA,NA
"1346","Fletch",1651,"Uni.",50612888,1985,NA,NA,NA,NA
"1347","Fletch Lives",2328,"Uni.",35150960,1989,NA,NA,NA,NA
"1348","Flicka",3309,"Fox",21000147,2006,NA,NA,NA,NA
"1349","Flight",758,"Par.",93772375,2012,NA,NA,NA,NA
"1350","Flight of the Intruder",4002,"Par.",14587732,1991,NA,NA,NA,NA
"1351","Flight of the Navigator",3547,"BV",18564613,1986,NA,NA,NA,NA
"1352","Flight of the Phoenix",3306,"Fox",21009180,2004,NA,NA,NA,NA
"1353","Flightplan",808,"BV",89707299,2005,NA,NA,NA,NA
"1354","Flipper",3402,"Uni.",20080020,1996,NA,NA,NA,NA
"1355","Flirting with Disaster",3985,"Mira.",14702438,1996,NA,NA,NA,NA
"1356","Florence Foster Jenkins",2803,"Par.",27383770,2016,NA,NA,NA,NA
"1357","Flowers in the Attic",3923,"NW",15151736,1987,NA,NA,NA,NA
"1358","Flubber",771,"BV",92977226,1997,NA,NA,NA,NA
"1359","Flushed Away",1237,"P/DW",64665672,2006,NA,NA,NA,NA
"1360","Fly Away Home",2973,"Sony",25143818,1996,NA,NA,NA,NA
"1361","Fly Me to the Moon",4118,"Sum.",13816982,2008,NA,NA,NA,NA
"1362","Flyboys",4210,"MGM",13090630,2006,NA,NA,NA,NA
"1363","Focus (2015)",1528,"WB",53862963,2015,NA,NA,NA,NA
"1364","Follow That Bird (Sesame St.)",4101,"WB",13961370,1985,NA,NA,NA,NA
"1365","Fool's Gold",1118,"WB",70231041,2008,NA,NA,NA,NA
"1366","Fools Rush In",2690,"Sony",29481428,1997,NA,NA,NA,NA
"1367","Footloose",946,"Par.",80035402,1984,NA,NA,NA,NA
"1368","Footloose (2011)",1600,"Par.",51802742,2011,NA,NA,NA,NA
"1369","For a Few Dollars More",3949,"UA",1.5e+07,1967,NA,NA,NA,NA
"1370","For Colored Girls",2184,"LGF",37729698,2010,NA,NA,NA,NA
"1371","For Keeps",3650,"TriS",17514553,1988,NA,NA,NA,NA
"1372","For Love of the Game",2325,"Uni.",35188640,1999,NA,NA,NA,NA
"1373","For Love or Money",4479,"Uni.",11146270,1993,NA,NA,NA,NA
"1374","For Richer or Poorer",2551,"Uni.",31642995,1997,NA,NA,NA,NA
"1375","For the Boys",3602,"Fox",17860280,1991,NA,NA,NA,NA
"1376","For the Love of Benji",3622,"Fox",17732000,1977,NA,NA,NA,NA
"1377","For Your Eyes Only",1499,"MGM",54812802,1981,NA,NA,NA,NA
"1378","Forces of Nature",1558,"DW",52888180,1999,NA,NA,NA,NA
"1379","Forever My Girl",3780,"RAtt.",16376066,2018,NA,NA,NA,NA
"1380","Forever Young",1472,"WB",55956187,1992,NA,NA,NA,NA
"1381","Forget Paris",2444,"Sony",33177694,1995,NA,NA,NA,NA
"1382","Forgetting Sarah Marshall",1282,"Uni.",63172463,2008,NA,NA,NA,NA
"1383","Forrest Gump",58,"Par.",330252182,1994,"Won 6 Oscars. Another 40 wins & 67 nominations.","Drama, Romance","82","8.8"
"1384","Fort Apache, The Bronx",2702,"Fox",29200000,1981,NA,NA,NA,NA
"1385","Foul Play",1843,"Par.",44999621,1978,NA,NA,NA,NA
"1386","Four Brothers",1034,"Par.",74494381,2005,NA,NA,NA,NA
"1387","Four Christmases",521,"WB (NL)",120146040,2008,NA,NA,NA,NA
"1388","Four Weddings and a Funeral",1567,"Gram.",52700832,1994,NA,NA,NA,NA
"1389","Foxcatcher",4350,"SPC",12096300,2014,NA,NA,NA,NA
"1390","Fracture",2110,"NL",39015018,2007,NA,NA,NA,NA
"1391","Frailty",4204,"Lions",13110448,2002,NA,NA,NA,NA
"1392","Frank Miller's Sin City: A Dame to Kill For",4122,"W/Dim.",13757804,2014,NA,NA,NA,NA
"1393","Frankenweenie",2319,"BV",35291068,2012,NA,NA,NA,NA
"1394","Frankie and Johnny (1991)",3140,"Par.",22773535,1991,NA,NA,NA,NA
"1395","Frantic",3629,"WB",17637950,1988,NA,NA,NA,NA
"1396","Freaky Friday",599,"BV",110230332,2003,NA,NA,NA,NA
"1397","Freaky Friday",2900,"Dis.",25942000,1977,NA,NA,NA,NA
"1398","Fred Claus",1074,"WB",72006777,2007,NA,NA,NA,NA
"1399","Freddy's Dead: The Final Nightmare",2348,"NL",34872033,1991,NA,NA,NA,NA
"1400","Freddy Got Fingered",4054,"Fox",14254993,2001,NA,NA,NA,NA
"1401","Freddy Vs. Jason",897,"NL",82622655,2003,NA,NA,NA,NA
"1402","Free Birds",1474,"Rela.",55750480,2013,NA,NA,NA,NA
"1403","Free State of Jones",3324,"STX",20810036,2016,NA,NA,NA,NA
"1404","Free Willy",977,"WB",77698625,1993,NA,NA,NA,NA
"1405","Free Willy 2: The Adventure Home",2661,"WB",30077111,1995,NA,NA,NA,NA
"1406","Freedom Writers",2247,"Par.",36605602,2007,NA,NA,NA,NA
"1407","Freedomland",4291,"SonR",12512886,2006,NA,NA,NA,NA
"1408","Freejack",3702,"WB",17129026,1992,NA,NA,NA,NA
"1409","French Kiss",2117,"Fox",38896854,1995,NA,NA,NA,NA
"1410","Frequency",1841,"NL",45010278,2000,NA,NA,NA,NA
"1411","Fresh",4948,"Mira.",8094616,1994,NA,NA,NA,NA
"1412","Frida",2910,"Mira.",25885000,2002,NA,NA,NA,NA
"1413","Friday",2798,"NL",27467564,1995,NA,NA,NA,NA
"1414","Friday After Next",2439,"NL",33253609,2002,NA,NA,NA,NA
"1415","Friday Night Lights",1315,"Uni.",61255921,2004,NA,NA,NA,NA
"1416","Friday the 13th - Part V",3206,"Par.",21930418,1985,NA,NA,NA,NA
"1417","Friday the 13th (1980)",2075,"Par.",39754601,1980,NA,NA,NA,NA
"1418","Friday the 13th (2009)",1231,"WB (NL)",65002019,2009,NA,NA,NA,NA
"1419","Friday the 13th Part 2",3220,"Par.",21722776,1981,NA,NA,NA,NA
"1420","Friday the 13th Part III",2241,"Par.",36690067,1982,NA,NA,NA,NA
"1421","Friday the 13th Part VI",3457,"Par.",19472057,1986,NA,NA,NA,NA
"1422","Friday the 13th Part VII",3484,"Par.",19170001,1988,NA,NA,NA,NA
"1423","Friday the 13th Part VIII",4043,"Par.",14343976,1989,NA,NA,NA,NA
"1424","Friday the 13th: Final Chapter",2454,"Par.",32980880,1984,NA,NA,NA,NA
"1425","Fried Green Tomatoes",902,"Uni.",82418501,1991,NA,NA,NA,NA
"1426","Friends with Benefits",1473,"SGem",55802754,2011,NA,NA,NA,NA
"1427","Friends with Money",4170,"SPC",13368437,2006,NA,NA,NA,NA
"1428","Fright Night",2998,"Col.",24922237,1985,NA,NA,NA,NA
"1429","Fright Night (2011)",3569,"BV",18302607,2011,NA,NA,NA,NA
"1430","From Dusk Till Dawn",2915,"Mira.",25836616,1996,NA,NA,NA,NA
"1431","From Hell",2554,"Fox",31602566,2001,NA,NA,NA,NA
"1432","From Paris with Love",3054,"LGF",24077427,2010,NA,NA,NA,NA
"1433","From Russia, with Love",3005,"UA",24796765,1964,NA,NA,NA,NA
"1434","From the Hip",4736,"DEG",9518342,1987,NA,NA,NA,NA
"1435","Frost/Nixon",3540,"Uni.",18622031,2008,NA,NA,NA,NA
"1436","Frozen",33,"BV",400738009,2013,"Won 2 Oscars. Another 77 wins & 57 nominations.","Animation, Adventure, Comedy","74","7.5"
"1437","Fruitvale Station",3817,"Wein.",16101339,2013,NA,NA,NA,NA
"1438","Full Metal Jacket",1798,"WB",46357676,1987,NA,NA,NA,NA
"1439","Fun Size",4750,"Par.",9409538,2012,NA,NA,NA,NA
"1440","Fun with Dick and Jane",598,"Sony",110332737,2005,NA,NA,NA,NA
"1441","Funny About Love",4935,"Par.",8141292,1990,NA,NA,NA,NA
"1442","Funny Farm",2940,"WB",25537221,1988,NA,NA,NA,NA
"1443","Funny Girl",1582,"Col.",52223306,1968,NA,NA,NA,NA
"1444","Funny Lady",2112,"Col.",3.9e+07,1975,NA,NA,NA,NA
"1445","Funny People",1597,"Uni.",51855045,2009,NA,NA,NA,NA
"1446","Furious 7",46,"Uni.",353007020,2015,"Nominated for 1 Golden Globe. Another 28 wins & 31 nominations.","Action, Crime, Thriller","67","7.2"
"1447","Furry Vengeance",3630,"Sum.",17630465,2010,NA,NA,NA,NA
"1448","Fury (2014)",848,"Sony",85817906,2014,NA,NA,NA,NA
"1449","G-Force",528,"BV",119436770,2009,NA,NA,NA,NA
"1450","G.I. Jane",1725,"BV",48169156,1997,NA,NA,NA,NA
"1451","G.I. Joe: Retaliation",507,"Par.",122523060,2013,NA,NA,NA,NA
"1452","G.I. Joe: The Rise of Cobra",346,"Par.",150201498,2009,"3 wins & 16 nominations.","Action, Adventure, Sci-Fi","32","5.8"
"1453","Galapagos (IMAX)",3542,"Imax",18611340,1999,NA,NA,NA,NA
"1454","Galaxy Quest",1083,"DW",71583916,1999,NA,NA,NA,NA
"1455","Game Night",1142,"WB (NL)",69001013,2018,NA,NA,NA,NA
"1456","Gamer",3349,"LGF",20534907,2009,NA,NA,NA,NA
"1457","Gandhi",1566,"Col.",52767889,1982,NA,NA,NA,NA
"1458","Gangs of New York",976,"Mira.",77812000,2002,NA,NA,NA,NA
"1459","Gangster Squad",1808,"WB",46000903,2013,NA,NA,NA,NA
"1460","Garden State",2847,"FoxS",26782316,2004,NA,NA,NA,NA
"1461","Garfield: A Tail of Two Kitties",2753,"Fox",28426747,2006,NA,NA,NA,NA
"1462","Garfield: The Movie",1024,"Fox",75369589,2004,NA,NA,NA,NA
"1463","Gattaca",4288,"Sony",12532777,1997,NA,NA,NA,NA
"1464","George A. Romero's Land of the Dead",3337,"Uni.",20700082,2005,NA,NA,NA,NA
"1465","George of the Jungle",640,"BV",105263257,1997,NA,NA,NA,NA
"1466","Georgia Rule",3490,"Uni.",19103072,2007,NA,NA,NA,NA
"1467","Geostorm",2409,"WB",33700160,2017,"N/A","Action, Sci-Fi, Thriller","21","5.3"
"1468","Geronimo: An American Legend",3537,"Col.",18635620,1993,NA,NA,NA,NA
"1469","Get Carter",3953,"WB",14967182,2000,NA,NA,NA,NA
"1470","Get Hard",801,"WB",90411453,2015,NA,NA,NA,NA
"1471","Get Him to the Greek",1318,"Uni.",60974475,2010,NA,NA,NA,NA
"1472","Get Low",4782,"SPC",9176933,2010,NA,NA,NA,NA
"1473","Get On Up",2610,"Uni.",30703100,2014,NA,NA,NA,NA
"1474","Get Out",259,"Uni.",176040665,2017,"Won 1 Oscar. Another 122 wins & 181 nominations.","Horror, Mystery, Thriller","84","7.7"
"1475","Get Over It",4417,"Mira.",11576464,2001,NA,NA,NA,NA
"1476","Get Rich or Die Tryin'",2596,"Par.",30985352,2005,NA,NA,NA,NA
"1477","Get Shorty",1071,"MGM",72101622,1995,NA,NA,NA,NA
"1478","Get Smart",449,"WB",130319208,2008,"2 wins & 6 nominations.","Action, Adventure, Comedy","54","6.5"
"1479","Getaway (2013)",4578,"WB",10501938,2013,NA,NA,NA,NA
"1480","Getting Even With Dad",3512,"MGM",18869594,1994,NA,NA,NA,NA
"1481","Getting Straight",4178,"Col.",13300000,1970,NA,NA,NA,NA
"1482","Gettysburg",4532,"NL",10769960,1993,NA,NA,NA,NA
"1483","Ghost",162,"Par.",217631306,1990,"Won 2 Oscars. Another 16 wins & 23 nominations.","Drama, Fantasy, Romance","52","7.0"
"1484","Ghost Dad",3014,"Uni.",24707633,1990,NA,NA,NA,NA
"1485","Ghost in the Shell (2017)",2033,"Par.",40563557,2017,NA,NA,NA,NA
"1486","Ghost Rider",558,"Sony",115802596,2007,NA,NA,NA,NA
"1487","Ghost Rider: Spirit of Vengeance",1601,"Sony",51774002,2012,NA,NA,NA,NA
"1488","Ghost Ship",2655,"WB",30113491,2002,NA,NA,NA,NA
"1489","Ghost Story",3098,"Uni.",23371905,1981,NA,NA,NA,NA
"1490","Ghost Town",4171,"P/DW",13367624,2008,NA,NA,NA,NA
"1491","Ghostbusters",126,"Col.",242212467,1984,"Nominated for 2 Oscars. Another 6 wins & 6 nominations.","Action, Comedy, Fantasy","71","7.8"
"1492","Ghostbusters (2016)",459,"Sony",128350574,2016,NA,NA,NA,NA
"1493","Ghostbusters II",583,"Col.",112494738,1989,NA,NA,NA,NA
"1494","Ghosts of Girlfriends Past",1488,"WB (NL)",55250026,2009,NA,NA,NA,NA
"1495","Ghosts of Mississippi",4175,"Sony",13323144,1996,NA,NA,NA,NA
"1496","Ghosts of the Abyss (IMAX & 35mm)",3715,"BV",17040871,2003,NA,NA,NA,NA
"1497","Gifted",3004,"FoxS",24801212,2017,"6 wins & 7 nominations.","Drama","60","7.6"
"1498","Girl with a Pearl Earring",4404,"Lions",11670971,2003,NA,NA,NA,NA
"1499","Girl, Interrupted",2719,"Sony",28912646,1999,NA,NA,NA,NA
"1500","Girls Trip",563,"Uni.",115171585,2017,"10 wins & 32 nominations.","Comedy, Drama","71","6.2"
"1501","Give 'Em Hell, Harry!",4506,"N/A",1.1e+07,1975,NA,NA,NA,NA
"1502","Gladiator",219,"DW",187705427,2000,"Won 5 Oscars. Another 53 wins & 101 nominations.","Action, Adventure, Drama","67","8.5"
"1503","Gladiator (1992)",4770,"Col.",9223441,1992,NA,NA,NA,NA
"1504","Glee The 3D Concert Movie",4382,"Fox",11862398,2011,NA,NA,NA,NA
"1505","Glengarry Glen Ross",4539,"NL",10725228,1992,NA,NA,NA,NA
"1506","Glory",2843,"TriS",26828365,1989,NA,NA,NA,NA
"1507","Glory Road",1946,"BV",42647449,2006,NA,NA,NA,NA
"1508","Gnomeo and Juliet",721,"BV",99967670,2011,NA,NA,NA,NA
"1509","Go",3727,"Sony",16943454,1999,NA,NA,NA,NA
"1510","God's Not Dead",1324,"Free",60755732,2014,NA,NA,NA,NA
"1511","God's Not Dead 2",3330,"PFR",20774575,2016,NA,NA,NA,NA
"1512","Gods and Generals",4241,"WB",12882934,2003,NA,NA,NA,NA
"1513","Gods of Egypt",2586,"LG/S",31153464,2016,NA,NA,NA,NA
"1514","Godsend",4035,"Lions",14379751,2004,NA,NA,NA,NA
"1515","Godzilla",412,"Sony",136314294,1998,"6 wins & 31 nominations.","Action, Adventure, Sci-Fi","62","6.4"
"1516","Godzilla (2014)",196,"WB",200676069,2014,NA,NA,NA,NA
"1517","Godzilla 2000",4665,"Sony",10037390,2000,NA,NA,NA,NA
"1518","Going in Style",2840,"WB",26869286,1979,"N/A","Comedy, Crime","50","6.6"
"1519","Going in Style (2017)",1840,"WB (NL)",45018541,2017,NA,NA,NA,NA
"1520","Going the Distance",3609,"WB (NL)",17804299,2010,NA,NA,NA,NA
"1521","GoldenEye",632,"MGM",106429941,1995,NA,NA,NA,NA
"1522","Goldfinger",1630,"UA",51081062,1964,NA,NA,NA,NA
"1523","Gone",4403,"LG/S",11682205,2012,NA,NA,NA,NA
"1524","Gone Baby Gone",3376,"Mira.",20300218,2007,NA,NA,NA,NA
"1525","Gone Fishin'",3430,"BV",19745922,1997,NA,NA,NA,NA
"1526","Gone Girl",287,"Fox",167767189,2014,"Nominated for 1 Oscar. Another 65 wins & 177 nominations.","Crime, Drama, Mystery","79","8.1"
"1527","Gone in 60 Seconds",678,"BV",101648571,2000,NA,NA,NA,NA
"1528","Gone with the Wind",199,"MGM",198676459,1939,"Won 8 Oscars. Another 10 wins & 9 nominations.","Drama, History, Romance","97","8.2"
"1529","Good Boy!",2187,"MGM",37667746,2003,NA,NA,NA,NA
"1530","Good Burger",3071,"Par.",23712993,1997,NA,NA,NA,NA
"1531","Good Luck Chuck",2341,"LGF",35017297,2007,NA,NA,NA,NA
"1532","Good Morning, Vietnam",503,"BV",123922370,1987,NA,NA,NA,NA
"1533","Good Night, and Good Luck.",2559,"WIP",31558003,2005,NA,NA,NA,NA
"1534","Good Will Hunting",403,"Mira.",138433435,1997,"Won 2 Oscars. Another 22 wins & 57 nominations.","Drama, Romance","70","8.3"
"1535","Goodfellas",1780,"WB",46836214,1990,NA,NA,NA,NA
"1536","Goosebumps",943,"Sony",80080379,2015,NA,NA,NA,NA
"1537","Goosebumps 2: Haunted Halloween",2670,"Sony",30010073,2018,NA,NA,NA,NA
