rank,title,studio,lifetime_gross,year
1116,Purple Rain,WB,70261052,1984
1117,The Big Short,Par.,70259870,2015
1118,Fool's Gold,WB,70231041,2008
1119,Star Trek: Insurrection,Par.,70187658,1998
1120,Grumpy Old Men,WB,70172621,1993
1121,Big Momma's House 2,Fox,70165972,2006
1122,Ferris Bueller's Day Off,Par.,70136369,1986
1123,The Golden Compass,NL,70107728,2007
1124,Kill Bill Vol. 1,Mira.,70099045,2003
1125,Blade,NL,70087718,1998
1126,Boomerang,Par.,70052444,1992
1127,Act of Valor,Rela.,70012847,2012
1128,Born on the Fourth of July,Uni.,70001698,1989
1129,Seven Pounds,Sony,69951824,2008
1130,Private Benjamin,WB,69847348,1980
1131,Splash,BV,69821334,1984
1132,Swordfish,WB,69772969,2001
1133,The Best Little Whorehouse in Texas,Uni.,69701637,1982
1134,Disney's The Kid,BV,69691949,2000
1135,Nine Months,Fox,69684532,1995
1136,Divine Secrets of the Ya-Ya Sisterhood,WB,69599016,2002
1137,Hot Shots!,Fox,69467617,1991
1138,The Thomas Crown Affair,MGM,69305181,1999
1139,Vertical Limit,Sony,69243859,2000
1140,Lost in Space,NL,69117629,1998
1141,The First Purge,Uni.,69086325,2018
1142,Game Night,WB (NL),69001013,2018
1143,Guess Who,Sony,68915888,2005
1144,Cool Runnings,BV,68856263,1993
1145,Witness,Par.,68706993,1985
1146,Sahara,Par.,68671925,2005
1147,Book Club,Par.,68566296,2018
1148,Percy Jackson: Sea of Monsters,Fox,68559554,2013
1149,Road Trip,DW,68540777,2000
1150,Blue Streak,Sony,68518533,1999
1151,Bring It On,Uni.,68379e3,2000
1152,Obsessed,SGem,68261644,2009
1153,Mr. Popper's Penguins,Fox,68224452,2011
1154,Octopussy,MGM,67893619,1983
1155,Skyscraper,Uni.,67796355,2018
1156,War Room,TriS,67790117,2015
1157,Outbreak,WB,67659560,1995
1158,Sudden Impact,WB,67642693,1983
1159,A Perfect Murder,WB,67638368,1998
1160,The Tourist,Sony,67631157,2010
1161,Night School (2018),Uni.,67594205,2018
1162,Insidious: The Last Key,Uni.,67560690,2018
1163,This Is 40,Uni.,67544505,2012
1164,Heat,WB,67436818,1995
1165,Holes,BV,67406573,2003
1166,Insomnia,WB,67355513,2002
1167,A Good Day to Die Hard,Fox,67349198,2013
1168,Hidalgo,BV,67303450,2004
1169,Role Models,Uni.,67294270,2008
1170,Lights Out,WB (NL),67268835,2016
1171,Coach Carter,Par.,67264877,2005
1172,Hacksaw Ridge,LGF,67209615,2016
1173,Smallfoot,WB,67192678,2018
1174,Coal Miner's Daughter,Uni.,67182787,1980
1175,Race to Witch Mountain,BV,67172594,2009
1176,The Forgotten,SonR,67133509,2004
1177,Dante's Peak,Uni.,67127760,1997
1178,The Bounty Hunter,Sony,67061228,2010
1179,Waiting to Exhale,Fox,67052156,1995
1180,The Secret of My Success,Uni.,66995879,1987
1181,102 Dalmatians,BV,66957026,2000
1182,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,66954149,2014
1183,Kangaroo Jack,WB,66934963,2003
1184,End of Days,Uni.,66889043,1999
1185,The Mexican,DW,66845033,2001
1186,Changing Lanes,Par.,66818548,2002
1187,Big Fish,Sony,66809693,2003
1188,Uncle Buck,Uni.,66758538,1989
1189,The Godfather Part III,Par.,66666062,1990
1190,Charlie Wilson's War,Uni.,66661095,2007
1191,Legends of the Fall,Sony,66638883,1994
1192,Contraband,Uni.,66528e3,2012
1193,The Bone Collector,Uni.,66518655,1999
1194,Looper,TriS,66486205,2012
1195,The Final Destination,WB (NL),66477700,2009
1196,The League of Extraordinary Gentlemen,Fox,66465204,2003
1197,Bowfinger,Uni.,66384775,1999
1198,Warm Bodies,LG/S,66380662,2013
1199,The Parent Trap,BV,66308518,1998
1200,Kill Bill Vol. 2,Mira.,66208183,2004
1201,The Divergent Series: Allegiant,LG/S,66184051,2016
1202,Smokey and the Bandit II,Uni.,66132626,1980
1203,Herbie: Fully Loaded,BV,66023816,2005
1204,Magic Mike XXL,WB,66013057,2015
1205,"What's Up, Doc?",WB,66e6,1972
1206,The Manchurian Candidate,Par.,65955630,2004
1207,Anaconda,Sony,65885767,1997
1208,Bad Boys,Sony,65807024,1995
1209,Ever After: A Cinderella Story,Fox,65705771,1998
1210,Stakeout,BV,65673233,1987
1211,Lara Croft Tomb Raider: The Cradle of Life,Par.,65660196,2003
1212,Tyler Perry's Madea's Witness Protection,LGF,65653242,2012
1213,Deuce Bigalow: Male Gigolo,BV,65538755,1999
1214,The Ten Commandments,Par.,655e5,1956
1215,The Taking of Pelham 1 2 3,Sony,65452312,2009
1216,Battleship,Uni.,65422625,2012
1217,Step Up,BV,65328121,2006
1218,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,BV,65281781,2008
1219,The House With A Clock In Its Walls,Uni.,65266830,2018
1220,The Amityville Horror (2005),MGM,65233369,2005
1221,Lethal Weapon,WB,65207127,1987
1222,The Visit,Uni.,65206105,2015
1223,The Muppet Movie,AFD,652e5,1979
1224,Jack the Giant Slayer,WB (NL),65187603,2013
1225,Think Like a Man Too,SGem,65182182,2014
1226,Barbershop 2: Back in Business,MGM,65111277,2004
1227,Now You See Me 2,LG/S,65075540,2016
1228,About Schmidt,NL,65016287,2002
1229,Exodus: Gods and Kings,Fox,65014513,2014
1230,Wolf,Col.,65002597,1994
1231,Friday the 13th (2009),WB (NL),65002019,2009
1232,Pitch Perfect,Uni.,65001093,2012
1233,Stuart Little 2,Sony,64956806,2002
1234,Mirror Mirror,Rela.,64935167,2012
1235,Staying Alive,Par.,64892670,1983
1236,Mr. Mom,Fox,64783827,1983
1237,Flushed Away,P/DW,64665672,2006
1238,L.A. Confidential,WB,64616940,1997
1239,Chronicle (2012),Fox,64575175,2012
1240,A Dog's Purpose,Uni.,64508620,2017
1241,The Happening,Fox,64506874,2008
1242,The Purge,Uni.,64473115,2013
1243,The Wedding Ringer,SGem,64460211,2015
1244,Field of Dreams,Uni.,64431625,1989
1245,Miracle,BV,64378093,2004
1246,Jackass: The Movie,Par.,64255312,2002
1247,The Nut Job,ORF,64251541,2014
1248,Down to Earth,Par.,64186502,2001
1249,17 Again,WB (NL),64167069,2009
1250,Ice Age: Collision Course,Fox,64063008,2016
1251,Deja Vu,BV,64038616,2006
1252,Happy Feet Two,WB,64006466,2011
1253,Diary of a Wimpy Kid,Fox,64003625,2010
1254,Dirty Dancing,Vest,63954274,1987
1255,Sky High,BV,63946815,2005
1256,Last Vegas,CBS,63914167,2013
1257,Life,Uni.,63886029,1999
1258,Mona Lisa Smile,SonR,63860942,2003
1259,The Shape of Water,FoxS,63859435,2017
1260,In & Out,Par.,63856929,1997
1261,The Fifth Element,Sony,63820180,1997
1262,Working Girl,Fox,63779477,1988
1263,The Witches of Eastwick,WB,63766510,1987
1264,What About Bob?,BV,63707829,1991
1265,Unknown,WB,63686397,2011
1266,Babe,Uni.,63658910,1995
1267,Thunderball,UA,63595658,1965
1268,Risky Business,WB,63541777,1983
1269,Hope Springs,Sony,63536011,2012
1270,The Fox and the Hound,BV,63456988,1981
1271,Miami Vice,Uni.,63450470,2006
1272,The Time Traveler's Wife,WB (NL),63414846,2009
1273,Tango & Cash,WB,63408614,1989
1274,She's All That,Mira.,63366989,1999
1275,Bewitched,Sony,63313159,2005
1276,Saw IV,LGF,63300095,2007
1277,The Boss,Uni.,63285885,2016
1278,Dave,WB,63270710,1993
1279,Tyler Perry's Madea's Family Reunion,LGF,63257940,2006
1280,The Holiday,Sony,63224849,2006
1281,Rising Sun,Fox,63179523,1993
1282,Forgetting Sarah Marshall,Uni.,63172463,2008
1283,The Sorcerer's Apprentice,BV,63150991,2010
1284,Beavis and Butt-Head Do America,Par.,63118386,1996
1285,Scent of a Woman,Uni.,63095253,1992
1286,A Nightmare on Elm Street (2010),WB (NL),63075011,2010
1287,The Last Song,BV,62950384,2010
1288,London Has Fallen,Focus,62678608,2016
1289,Jarhead,Uni.,62658220,2005
1290,Black Mass,WB,62575678,2015
1291,The Crying Game,Mira.,62548947,1992
1292,The Fast and the Furious: Tokyo Drift,Uni.,62514415,2006
1293,The Adjustment Bureau,Uni.,62495645,2011
1294,A Fish Called Wanda,MGM,62493712,1988
1295,Spy Game,Uni.,62362560,2001
1296,Underworld Awakening,SGem,62321039,2012
1297,Underworld: Evolution,SGem,62318875,2006
1298,Down and Out in Beverly Hills,BV,62134225,1986
1299,The Wolfman,Uni.,61979680,2010
1300,Mouse Hunt,DW,61917389,1997
1301,The Electric Horseman,Col.,61801971,1979
1302,Patton,Fox,61749765,1970
1303,Ender's Game,LG/S,61737191,2013
1304,Miracles from Heaven,TriS,61705123,2016
1305,Cinderella Man,Uni.,61649911,2005
1306,The Goonies,WB,61503218,1985
1307,Flatliners,Col.,61489265,1990
1308,Deepwater Horizon,LG/S,61433527,2016
1309,National Lampoon's Vacation,WB,61399552,1983
1310,The Saint,Par.,61363304,1997
1311,Stomp the Yard,SGem,61356221,2007
1312,Rules of Engagement,Par.,61335230,2000
1313,The Cell,NL,61334059,2000
1314,Misery,Col.,61276872,1990
1315,Friday Night Lights,Uni.,61255921,2004
1316,The Shaggy Dog,BV,61123569,2006
1317,Prisoners,WB,61002302,2013
1318,Get Him to the Greek,Uni.,60974475,2010
1319,The Devil's Advocate,WB,60944660,1997
1320,The Omen,Fox,60922980,1976
1321,Mission to Mars,BV,60883407,2000
1322,Harlem Nights,Par.,60864870,1989
1323,Coyote Ugly,BV,60786269,2000
1324,God's Not Dead,Free,60755732,2014
1325,Poseidon,WB,60674817,2006
1326,Fantasia 2000 (35mm & IMAX),BV,60655420,2000
1327,Three Kings,WB,60652036,1999
1328,Jingle All the Way,Fox,60592389,1996
1329,Kiss the Girls,Par.,60527873,1997
1330,After Earth,Sony,60522097,2013
1331,Baby Mama,Uni.,60494212,2008
1332,Shanghai Knights,BV,60476872,2003
1333,The Lucky One,WB,60457138,2012
1334,The Wedding Planner,Sony,60400856,2001
1335,Burn After Reading,Focus,60355347,2008
1336,Scrooged,Par.,60328558,1988
1337,Why Him?,Fox,60323786,2016
1338,The Cable Guy,Sony,60240295,1996
1339,Blockers,Uni.,60147900,2018
1340,Resident Evil: Afterlife,SGem,60128566,2010
1341,Tyler Perry's Why Did I Get Married Too?,LGF,60095852,2010
1342,Spies Like Us,WB,60088980,1985
1343,The American President,Sony,60079496,1995
1344,Species,MGM,60074103,1995
1345,The Family Stone,Fox,60062868,2005
1346,Bad Santa,Dim.,60060328,2003
1347,Bruno,Uni.,60054530,2009
1348,Hope Floats,Fox,60053195,1998
1349,Tooth Fairy,Fox,60022256,2010
1350,Snow Day,Par.,60020107,2000
1351,The Good Shepherd,Uni.,59952835,2006
1352,Superman III,WB,59950623,1983
1353,Jungle 2 Jungle,BV,59927618,1997
1354,Little Miss Sunshine,FoxS,59891098,2006
1355,The Benchwarmers,SonR,59843754,2006
1356,Predator,Fox,59735548,1987
1357,Secretariat,BV,59713955,2010
1358,Son of God,Fox,59700064,2014
1359,Love Actually,Uni.,59696144,2003
1360,Gothika,WB,59694580,2003
1361,My Big Fat Greek Wedding 2,Uni.,59689605,2016
1362,The Dictator,Par.,59650222,2012
1363,Hellboy,SonR,59623958,2004
1364,Pacific Rim Uprising,Uni.,59587110,2018
1365,The Last Boy Scout,WB,59509925,1991
1366,My Girl,Col.,59489799,1991
1367,The Stepford Wives,Par.,59484742,2004
1368,The Grand Budapest Hotel,FoxS,59301324,2014
1369,The LEGO Ninjago Movie,WB,59281555,2017
1370,Planes: Fire & Rescue,BV,59165787,2014
1371,Courage Under Fire,Fox,59031057,1996
1372,Dawn of the Dead,Uni.,59020957,2004
1373,Chariots of Fire,Col.,58972904,1981
1374,Vacation,WB (NL),58884188,2015
1375,Far and Away,Uni.,58883840,1992
1376,Total Recall (2012),Sony,58877969,2012
1377,Surf's Up,Sony,58867694,2007
1378,Behind Enemy Lines,Fox,58856790,2001
1379,The Blue Lagoon,Col.,58853106,1980
1380,Bride Wars,Fox,58715510,2009
1381,Water for Elephants,Fox,58709717,2011
1382,Jack Reacher: Never Go Back,Par.,58697076,2016
1383,"Honey, I Blew Up the Kid",BV,58662452,1992
1384,Little Man,SonR,58645052,2006
1385,Jack,BV,58620973,1996
1386,RoboCop (2014),Sony,58607007,2014
1387,2001: A Space Odyssey,MGM,58588800,1968
1388,Sea of Love,Uni.,58571513,1989
1389,Housesitter,Uni.,58500635,1992
1390,Death Becomes Her,Uni.,58422650,1992
1391,Anastasia,Fox,58406347,1997
1392,Easy A,SGem,58401464,2010
1393,Curious George,Uni.,58360760,2006
1394,Open Range,BV,58331254,2003
1395,Halloween (2007),MGM/W,58272029,2007
1396,The Secret Life of Walter Mitty,Fox,58236838,2013
1397,Bicentennial Man,BV,58223861,1999
1398,Ali,Sony,58203105,2001
1399,Without a Paddle,Par.,58169327,2004
1400,Baywatch,Par.,58060186,2017
1401,Demolition Man,WB,58055768,1993
1402,Maze Runner: The Death Cure,Fox,58032443,2018
1403,Step Up 2 the Streets,BV,58017783,2008
1404,The Lincoln Lawyer,LGF,58009200,2011
1405,The Butterfly Effect,NL,57938693,2004
1406,Throw Momma From the Train,Orion,57915972,1987
1407,Red Eye,DW,57891803,2005
1408,Shall We Dance,Mira.,57890460,2004
1409,Invincible,BV,57806952,2006
1410,Cleopatra (1963),Fox,57777778,1963
1411,The Chronicles of Riddick,Uni.,57761012,2004
1412,Takers,SGem,57744720,2010
1413,The Animal,SonR,57743062,2001
1414,Fences,Par.,57682904,2016
1415,Life Is Beautiful,Mira.,57563264,1998
1416,The Cider House Rules,Mira.,57545092,1999
1417,Boyz N the Hood,Col.,57504069,1991
1418,Memoirs of a Geisha,Sony,57490508,2005
1419,Pet Sematary,Par.,57469467,1989
1420,Tomb Raider,WB,57421715,2018
1421,Dragnet,Uni.,57387516,1987
1422,Moulin Rouge!,Fox,57386607,2001
1423,The Shack,LG/S,57386418,2017
1424,Blood Diamond,WB,57377916,2006
1425,The Specialist,WB,57362582,1994
1426,Next Friday,NL,57328603,2000
1427,Sister Act 2: Back in the Habit,BV,57319029,1993
1428,Willow,MGM,57269863,1988
1429,The Whole Nine Yards,WB,57262492,2000
1430,13 Going on 30,SonR,57231747,2004
1431,The Blues Brothers,Uni.,57229890,1980
1432,U.S. Marshals,WB,57167405,1998
1433,12 Monkeys,Uni.,57141459,1995
1434,Unlawful Entry,Fox,57138719,1992
1435,Beethoven,Uni.,57114049,1992
1436,Annie,Col.,57059003,1982
1437,Beaches,BV,57041866,1988
1438,The Perfect Guy,SGem,57027435,2015
1439,Escape From Planet Earth,Wein.,57012977,2013
1440,American Reunion,Uni.,57011521,2012
1441,The Man in the Iron Mask,MGM,56968902,1998
1442,Shanghai Noon,BV,56937502,2000
1443,The Time Machine,DW,56832494,2002
1444,Midnight in Paris,SPC,56817045,2011
1445,Saw V,LGF,56746769,2008
1446,A Civil Action,BV,56709981,1998
1447,12 Years a Slave,FoxS,56671993,2013
1448,Guess Who's Coming to Dinner,Col.,56666667,1967
1449,Clueless,Par.,56631572,1995
1450,Rat Race,Par.,56618055,2001
1451,A Knight's Tale,Sony,56569702,2001
1452,Executive Decision,WB,56569216,1996
1453,Tombstone,BV,56505065,1993
1454,Darkest Hour,Focus,56468410,2017
1455,Joy,Fox,56451232,2015
1456,The Queen,Mira.,56441711,2006
1457,The Big Chill,Col.,56399659,1983
1458,Drumline,Fox,56399184,2002
1459,White Noise,Uni.,56386759,2005
1460,Edward Scissorhands,Fox,56362352,1990
1461,Once Upon a Time in Mexico,Sony,56359780,2003
1462,Dracula Untold,Uni.,56280355,2014
1463,Me Before You,WB (NL),56245075,2016
1464,Just Married,Fox,56127162,2003
1465,Fantastic Four,Fox,56117548,2015
1466,Primal Fear,Par.,56116183,1996
1467,Wallace and Gromit: The Curse of the Were-Rabbit,DW,56110897,2005
1468,Be Cool,MGM,56046979,2005
1469,ParaNorman,Focus,56003051,2012
1470,Saw,Lions,56000369,2004
1471,Romeo Must Die,WB,55973336,2000
1472,Forever Young,WB,55956187,1992
1473,Friends with Benefits,SGem,55802754,2011
1474,Free Birds,Rela.,55750480,2013
1475,Hansel and Gretel: Witch Hunters,Par.,55703475,2013
1476,Eyes Wide Shut,WB,55691208,1999
1477,Happy Death Day,Uni.,55683845,2017
1478,Legend of the Guardians: The Owls of Ga'Hoole,WB,55675313,2010
1479,Police Academy 2: Their First Assignment,WB,556e5,1985
1480,Snake Eyes,Par.,55591409,1998
1481,The BFG,BV,55483770,2016
1482,Never Been Kissed,Fox,55474756,1999
1483,Alien 3,Fox,55473545,1992
1484,Neighbors 2: Sorority Rising,Uni.,55455765,2016
1485,Never Say Never Again,WB,55432841,1983
1486,The Haunting in Connecticut,LGF,55389516,2009
1487,What Dreams May Come,Poly,55382927,1998
1488,Ghosts of Girlfriends Past,WB (NL),55250026,2009
1489,Tyler Perry's Why Did I Get Married?,LGF,55204525,2007
1490,The Shallows,Sony,55124043,2016
1491,I Am Number Four,BV,55100437,2011
1492,Halloween: H20,Dim.,55041738,1998
1493,The Guardian,BV,55011732,2006
1494,Don't Say a Word,Fox,55001642,2001
1495,The Jackal,Uni.,54930280,1997
1496,Spawn,NL,54870175,1997
1497,Doc Hollywood,WB,54830779,1991
1498,Starship Troopers,Sony,54814377,1997
1499,For Your Eyes Only,MGM,54812802,1981
1500,Office Christmas Party,Par.,54767494,2016
1501,Ordinary People,Par.,54766923,1980
1502,This Means War,Fox,54760791,2012
1503,Project X,WB,54731865,2012
1504,Source Code,Sum.,54712227,2011
1505,Small Soldiers,DW,54682547,1998
1506,Assassin's Creed,Fox,54647948,2016
1507,The Omen (2006),Fox,54607383,2006
1508,Crash,Lions,54580300,2005
1509,Tag,WB (NL),54547470,2018
1510,New Year's Eve,WB (NL),54544638,2011
1511,"Three Billboards Outside Ebbing, Missouri",FoxS,54513740,2017
1512,The Abyss,Fox,54461047,1989
1513,Horrible Bosses 2,WB,54445357,2014
1514,The Woman in Black,CBS,54333290,2012
1515,The Hundred-Foot Journey,BV,54240821,2014
1516,Evil Dead (2013),TriS,54239856,2013
1517,The Count of Monte Cristo,BV,54234062,2002
1518,La Bamba,Col.,54215416,1987
1519,TMNT,WB,54149098,2007
1520,The Hateful Eight,Wein.,54117416,2015
1521,Final Destination 3,NL,54098051,2006
1522,Barbershop: The Next Cut,WB (NL),54030051,2016
1523,Insidious,FD,54009150,2011
1524,The Verdict,Fox,53977250,1982
1525,Paranormal Activity 4,Par.,53900335,2012
1526,The Three Musketeers (1993),BV,53898845,1993
1527,Austin Powers: International Man of Mystery,NL,53883989,1997
1528,Focus (2015),WB,53862963,2015
1529,Tin Cup,WB,53854588,1996
1530,Paycheck,Par.,53790451,2003
1531,Rambo III,TriS,53715611,1988
1532,Hero,Mira.,53710019,2004
1533,P.S. I Love You,WB,53695808,2007
1534,Sabrina,Par.,53672080,1995
1535,Rookie of the Year,Fox,53615089,1993
1536,3:10 to Yuma (2007),LGF,53606916,2007
1537,Problem Child,Uni.,53470891,1990
1538,Beethoven's 2nd,Uni.,53443066,1993
1539,Robocop,Orion,53424681,1987
1540,"Yours, Mine and Ours",Par.,53412862,2005
1541,Life as We Know It,WB,53374681,2010
1542,Tim Burton's Corpse Bride,WB,53359111,2005
1543,T-Rex: Back to the Cretaceous (IMAX),Imax,53354743,1998
1544,Tyler Perry's Madea's Big Happy Family,LGF,53345287,2011
1545,Final Destination,NL,53331147,2000
1546,Sleepers,WB,53315285,1996
1547,Papillon,AAP,53267e3,1973
1548,Red 2,LG/S,53262560,2013
1549,The Devil Inside,Par.,53261944,2012
1550,Arachnophobia,BV,53208180,1990
1551,The Prestige,BV,53089891,2006
1552,Letters to Juliet,Sum.,53032453,2010
1553,A Simple Favor,LGF,52992259,2018
1554,Blow,NL,52990775,2001
1555,My Cousin Vinny,Fox,52929168,1992
1556,Sweeney Todd: The Demon Barber of Fleet Street,P/DW,52898073,2007
1557,Varsity Blues,Par.,52894169,1999
1558,Forces of Nature,DW,52888180,1999
1559,Message in a Bottle,WB,52880016,1999
1560,Outrageous Fortune,BV,52864741,1987
1561,Life of the Party,WB (NL),52856061,2018
1562,13 Hours: The Secret Soldiers of Benghazi,Par.,52853219,2016
1563,Kicking and Screaming,Uni.,52842724,2005
1564,The Recruit,BV,52802140,2003
1565,Unfaithful,Fox,52775765,2002
1566,Gandhi,Col.,52767889,1982
1567,Four Weddings and a Funeral,Gram.,52700832,1994
1568,Diary of a Wimpy Kid: Rodrick Rules,Fox,52698535,2011
1569,King Kong (1976),Par.,52614445,1976
1570,The Strangers,Rog.,52597610,2008
1571,No Good Deed (2014),SGem,52543632,2014
1572,Tyler Perry's A Madea Christmas,LGF,52543354,2013
1573,Wall Street: Money Never Sleeps,Fox,52474616,2010
1574,Southpaw,Wein.,52421953,2015
1575,Blade: Trinity,NL,52411906,2004
1576,The Royal Tenenbaums,BV,52364010,2001
1577,Hubble 3D,WB,52337318,2010
1578,Radio,SonR,52333738,2003
1579,The Lake House,WB,52330111,2006
1580,The Color of Money,BV,52293982,1986
1581,Stand by Me,Col.,52287414,1986
1582,Funny Girl,Col.,52223306,1968
1583,Insidious Chapter 3,Focus,52218558,2015
1584,Star Trek V: The Final Frontier,Par.,52210049,1989
1585,Identity,Sony,52159536,2003
1586,The Little Rascals,Uni.,52125282,1994
1587,Awakenings,Col.,52096475,1990
1588,Selma,Par.,52076908,2014
1589,The Forbidden Kingdom,LGF,52075270,2008
1590,"South Park - Bigger, Longer and Uncut",Par.,52037603,1999
1591,Predators,Fox,52000688,2010
1592,Tyler Perry's Temptation: Confessions of a Marriage Counselor,LGF,51975354,2013
1593,Amadeus,Orion,51973029,1984
1594,Underworld,SGem,51970690,2003
1595,King Arthur,BV,51882244,2004
1596,The Call,TriS,51872378,2013
1597,Funny People,Uni.,51855045,2009
1598,The Odd Life of Timothy Green,BV,51854875,2012
1599,Finding Forrester,Sony,51804714,2000
1600,Footloose (2011),Par.,51802742,2011
1601,Ghost Rider: Spirit of Vengeance,Sony,51774002,2012
1602,Exit Wounds,WB,51758599,2001
1603,Lion,Wein.,51738905,2016
1604,Tyler Perry's I Can Do Bad All By Myself,LGF,51733921,2009
1605,The China Syndrome,Col.,51718367,1979
1606,The French Connection,Fox,517e5,1971
1607,Atomic Blonde,Focus,51687870,2017
1608,Finding Neverland,Mira.,51680613,2004
1609,Sleeping Beauty,Dis.,516e5,1959
1610,The Grey,ORF,51580236,2012
1611,My Bloody Valentine 3-D,LGF,51545952,2009
1612,A Cinderella Story,WB,51438175,2004
1613,Like Mike,Fox,51432760,2002
1614,Sneakers,Uni.,51432691,1992
1615,Enemy at the Gates,Par.,51401758,2001
1616,Hoodwinked,Wein.,51386611,2005
1617,Dragonheart,Uni.,51367375,1996
1618,American Made,Uni.,51342e3,2017
1619,Dennis the Menace,WB,51270765,1993
1620,The Phantom of the Opera,WB,51268815,2004
1621,The Love Bug,Dis.,51264e3,1969
1622,Broadcast News,Fox,51249404,1987
1623,Resident Evil: Apocalypse,SGem,51201453,2004
1624,The Living Daylights,UA,51185897,1987
1625,Muppets Most Wanted,BV,51183113,2014
1626,The Naked Gun 33 1/3: The Final Insult,Par.,51132598,1994
1627,Hide and Seek,Fox,51100486,2005
1628,Up Close and Personal,BV,51088705,1996
1629,The Hitchhiker's Guide to the Galaxy,BV,51085416,2005
1630,Goldfinger,UA,51081062,1964
1631,Silver Streak,Fox,51079064,1976
1632,Atonement,Focus,50927067,2007
1633,Bull Durham,Orion,50888729,1988
1634,The Tale of Despereaux,Uni.,50877145,2008
1635,Apocalypto,BV,50866635,2006
1636,Something to Talk About,WB,50865589,1995
1637,The Predator (2018),Fox,50865052,2018
1638,The Road to El Dorado,DW,50863742,2000
1639,Ouija,Uni.,50856010,2014
1640,The Boxtrolls,Focus,50837305,2014
1641,Syriana,WB,50824620,2005
1642,The Mighty Ducks,BV,50752337,1992
1643,A Bridge Too Far,UA,5075e4,1977
1644,The Net,Sony,50727965,1995
1645,The Dark Tower,Sony,50701325,2017
1646,The Hurricane,Uni.,50699241,1999
1647,The Crow,Mira.,50693129,1994
1648,Resident Evil: Extinction,SGem,50648679,2007
1649,Tyler Perry's Diary of a Mad Black Woman,Lions,50633099,2005
1650,Mighty Joe Young,BV,50632037,1998
1651,Fletch,Uni.,50612888,1985
1652,Jack Ryan: Shadow Recruit,Par.,50577412,2014
1653,Music and Lyrics,WB,50572589,2007
1654,The Tuxedo,DW,50547998,2002
1655,Eddie Murphy Raw,Par.,50504655,1987
1656,If I Stay,WB (NL),50474843,2014
1657,The Four Seasons,Uni.,50427646,1981
1658,K-PAX,Uni.,50338485,2001
1659,A View to a Kill,MGM,50327960,1985
1660,Overboard (2018),PNT,50316123,2018
1661,Serendipity,Mira.,50294317,2001
1662,Hot Tub Time Machine,MGM,50287556,2010
1663,Natural Born Killers,WB,50282766,1994
1664,Angels in the Outfield (1994),BV,50236831,1994
1665,Breakdown,Par.,50159144,1997
1666,The Book of Life (2014),Fox,50151543,2014
1667,Little Women (1994),Sony,50083616,1994
1668,Sommersby,WB,50081992,1993
1669,Sicario: Day of the Soldado,Sony,50072235,2018
1670,Absolute Power,Sony,50068310,1997
1671,Evita,BV,50047179,1996
1672,Stigmata,MGM,50046268,1999
1673,Home on the Range,BV,50030461,2004
1674,Under Siege 2: Dark Territory,WB,50024083,1995
1675,When a Man Loves a Woman,BV,50021959,1994
1676,Last Action Hero,Col.,50016394,1993
1677,A Walk in the Clouds,Fox,50008143,1995
1678,Dog Day Afternoon,WB,5e7,1975
1679,Red Tails,Fox,49876377,2012
1680,Pain and Gain,Par.,49875291,2013
1681,Legal Eagles,Uni.,49851591,1986
1682,Popeye,Par.,49823037,1980
1683,Major League,Par.,49797148,1989
1684,Racing Stripes,WB,49772522,2005
1685,Are We Done Yet?,SonR,49662533,2007
1686,Revenge of the Pink Panther,UA,49579269,1978
1687,Australia,Fox,49554002,2008
1688,"Planes, Trains and Automobiles",Par.,49530280,1987
1689,Old Dogs,BV,49492060,2009
1690,Runaway Jury,Fox,49443628,2003
1691,Land of the Lost,Uni.,49438370,2009
1692,Shampoo,Col.,49407734,1975
1693,A Nightmare on Elm Street 4: The Dream Master,NL,49369899,1988
1694,European Vacation,WB,49364621,1985
1695,Volcano,Fox,49323468,1997
1696,My Sister's Keeper,WB (NL),49200230,2009
1697,The Possession,LGF,49130154,2012
1698,This Christmas,SGem,49121934,2007
1699,Bugsy,TriS,49114016,1991
1700,Cobra,WB,49042224,1986
1701,Michael Clayton,WB,49033882,2007
1702,Diary of a Wimpy Kid: Dog Days,Fox,49008662,2012
1703,The Deer Hunter,Uni.,48979328,1978
1704,Lady Bird,A24,48958273,2017
1705,Addams Family Values,Par.,48919043,1993
1706,Men of Honor,Fox,48818921,2000
1707,I Feel Pretty,STX,48795601,2018
1708,Firewall,WB,48751189,2006
1709,About Last Night (2014),SGem,48637684,2014
1710,Speed 2: Cruise Control,Fox,48608066,1997
1711,Date Movie,Fox,48548426,2006
1712,Miss Congeniality 2: Armed and Fabulous,WB,48478006,2005
1713,The Dilemma,Uni.,48475290,2011
1714,Peter Pan,Uni.,48462608,2003
1715,Return to Never Land,BV,48430258,2002
1716,The Huntsman: Winter's War,Uni.,48390190,2016
1717,Big Fat Liar,Uni.,48360547,2002
1718,The Game,Poly,48323648,1997
1719,Just Like Heaven,DW,48318130,2005
1720,BlacKkKlansman,Focus,48271960,2018
1721,The House Bunny,Sony,48237389,2008
1722,Mask,Uni.,48230162,1985
1723,Wayne's World 2,Par.,48197805,1993
1724,Malcolm X,WB,48169910,1992
1725,G.I. Jane,BV,48169156,1997
1726,Tightrope,WB,48143579,1984
1727,Fat Albert,Fox,48116322,2004
1728,The Preacher's Wife,BV,48102795,1996
