rank,title,studio,lifetime_gross,year
163,How to Train Your Dragon,P/DW,217581231,2010
164,The Da Vinci Code,Sony,217536138,2006
165,Aladdin,BV,217350219,1992
166,Alvin and the Chipmunks,Fox,217326974,2007
167,Ant-Man and the Wasp,BV,216608001,2018
168,Saving Private Ryan,DW,216540909,1998
169,Madagascar 3: Europe's Most Wanted,P/DW,216391482,2012
170,Kung Fu Panda,P/DW,215434591,2008
171,Mission: Impossible II,Par.,215409889,2000
172,X2: X-Men United,Fox,214949694,2003
173,Dr. Seuss' The Lorax,Uni.,214030500,2012
174,Solo: A Star Wars Story,BV,213767512,2018
175,Austin Powers in Goldmember,NL,213307889,2002
176,300,WB,210614939,2007
177,Back to the Future,Uni.,210609762,1985
178,Fast Five,Uni.,209837675,2011
179,Coco,BV,209726015,2017
180,Mission: Impossible - Ghost Protocol,Par.,209397903,2011
181,Wedding Crashers,NL,209255921,2005
182,Sherlock Holmes,WB,209028679,2009
183,Dawn of the Planet of the Apes,Fox,208545589,2014
184,Batman Begins,WB,206852432,2005
185,Charlie and the Chocolate Factory,WB,206459076,2005
186,Ratatouille,BV,206445654,2007
187,Thor: The Dark World,BV,206362140,2013
188,Austin Powers: The Spy Who Shagged Me,NL,206040086,1999
189,Terminator 2: Judgment Day,TriS,205881154,1991
190,The Amazing Spider-Man 2,Sony,202853933,2014
191,World War Z,Par.,202359711,2013
192,The Mummy Returns,Uni.,202019785,2001
193,Armageddon,BV,201578182,1998
194,Cinderella (2015),BV,201151353,2015
195,Tangled,BV,200821936,2010
196,Godzilla (2014),WB,200676069,2014
197,Superman Returns,WB,200081192,2006
198,Spectre,Sony,200074609,2015
199,Gone with the Wind,MGM,198676459,1939
200,Pearl Harbor,BV,198542554,2001
201,Monsters Vs. Aliens,P/DW,198351526,2009
202,Happy Feet,WB,198000317,2006
203,Indiana Jones and the Last Crusade,Par.,197171806,1989
204,Ice Age: Dawn of the Dinosaurs,Fox,196573705,2009
205,Ice Age: The Meltdown,Fox,195330621,2006
206,Mission: Impossible - Rogue Nation,Par.,195042377,2015
207,Madagascar,DW,193595521,2005
208,Twilight,Sum.,192769854,2008
209,Toy Story,BV,191796233,1995
210,22 Jump Street,Sony,191719337,2014
211,Cars 2,BV,191452396,2011
212,Teenage Mutant Ninja Turtles (2014),Par.,191204754,2014
213,Men in Black II,Sony,190418803,2002
214,Dunkirk,WB,190068280,2017
215,Wreck-It Ralph,BV,189422889,2012
216,Grease,Par.,188755690,1978
217,A Quiet Place,Par.,188024361,2018
218,Interstellar,Par.,188020017,2014
219,Gladiator,DW,187705427,2000
220,The Croods,Fox,187168425,2013
221,Sherlock Holmes: A Game of Shadows,WB,186848418,2011
222,The Day After Tomorrow,Fox,186740799,2004
223,The Polar Express,WB,186493472,2004
224,Mr. & Mrs. Smith,Fox,186336279,2005
225,Snow White and the Seven Dwarfs,Dis.,184925486,1937
226,Pitch Perfect 2,Uni.,184296230,2015
227,Dances with Wolves,Orion,184208848,1990
228,Batman Forever,WB,184031112,1995
229,The Fugitive,WB,183875760,1993
230,The Revenant,Fox,183637894,2015
231,Ocean's Eleven,WB,183417150,2001
232,The Simpsons Movie,Fox,183135014,2007
233,What Women Want,Par.,182811707,2000
234,The Perfect Storm,WB,182618434,2000
235,Lincoln,BV,182207973,2012
236,Liar Liar,Uni.,181410615,1997
237,Jurassic Park III,Uni.,181171875,2001
238,Thor,Par.,181030624,2011
239,Mission: Impossible,Par.,180981856,1996
240,Ant-Man,BV,180202163,2015
241,Planet of the Apes (2001),Fox,180011740,2001
242,Madagascar: Escape 2 Africa,P/DW,180010950,2008
243,X-Men Origins: Wolverine,Fox,179883157,2009
