"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","omdb.Awards","omdb.BoxOffice","omdb.Metascore","omdb.imdbRating"
"460","The Zookeeper's Wife","2017-03-31","2017-03-29","http://www.nytimes.com/2017/03/29/movies/the-zookeepers-wife-review-jessica-chastain.html","PG-13",0,"2 wins & 3 nominations.","$17,407,536","57","7.0"
"461","Their Finest","2017-04-07","2017-04-06","http://www.nytimes.com/2017/04/06/movies/their-finest-review.html","R",0,"1 win & 6 nominations.","$3,595,841","76","6.8"
"462","This Is Everything: Gigi Gorgeous","2017-02-03","2017-02-02","http://www.nytimes.com/2017/02/02/movies/this-is-everything-gigi-gorgeous-review.html","",0,"2 wins & 3 nominations.","N/A","61","6.6"
"463","This Time Tomorrow","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/this-time-tomorrow-review.html","",0,"2 nominations.","N/A","N/A","5.9"
"464","Thor: Ragnarok","2017-11-03","2017-11-01","http://www.nytimes.com/2017/11/01/movies/thor-ragnarok-review-chris-hemsworth.html","PG-13",0,"5 wins & 30 nominations.","$314,971,245","74","7.9"
"465","Three Billboards Outside Ebbing, Missouri","2017-11-10","2017-11-08","http://www.nytimes.com/2017/11/08/movies/review-three-billboards-outside-ebbing-missouri-martin-mcdonagh.html","R",0,"Won 2 Oscars. Another 104 wins & 193 nominations.","$52,000,189","88","8.2"
"466","Thy Father's Chair","2017-10-13","2017-10-12","http://www.nytimes.com/2017/10/12/movies/thy-fathers-chair-review.html","",1,"1 win & 5 nominations.","N/A","N/A","7.2"
"467","Tommy's Honour","2017-04-14","2017-04-13","http://www.nytimes.com/2017/04/13/movies/tommys-honour-review.html","PG",0,"1 win & 2 nominations.","$561,963","56","6.1"
"468","Tomorrow","2017-04-14","2017-04-19","http://www.nytimes.com/2017/04/19/movies/tomorrow-review.html","",1,"1 win & 1 nomination.","N/A","71","8.1"
"469","Tracktown","2017-05-12","2017-05-11","http://www.nytimes.com/2017/05/11/movies/tracktown-review.html","",0,"1 nomination.","N/A","64","5.7"
"470","Tragedy Girls","2017-10-20","2017-10-19","http://www.nytimes.com/2017/10/19/movies/tragedy-girls-review.html","R",0,"8 wins & 3 nominations.","$58,016","58","6.0"
"471","Transformers: The Last Knight","2017-06-21","2017-06-20","http://www.nytimes.com/2017/06/20/movies/transformers-the-last-knight-review.html","PG-13",0,"16 nominations.","$130,104,634","27","5.2"
"472","Trophy","2017-09-08","2017-09-07","http://www.nytimes.com/2017/09/07/movies/trophy-review.html","",1,"1 win & 6 nominations.","&pound;19,744","80","7.4"
"473","Tulip Fever","2017-09-01","2017-09-01","http://www.nytimes.com/2017/09/01/movies/tulip-fever-review-alicia-vikander.html","R",0,"1 nomination.","$2,399,374","38","6.2"
"474","Turn It Around: The Story of East Bay Punk","2017-05-31","2017-07-27","http://www.nytimes.com/2017/07/27/movies/turn-it-around-the-story-of-east-bay-punk-review.html","",0,"N/A","$53,735","N/A","8.7"
"475","Underworld: Blood Wars","2017-01-06","2017-01-06","http://www.nytimes.com/2017/01/06/movies/underworld-blood-wars-review.html","R",0,"N/A","$30,348,260","23","5.8"
"476","Unlocked","2017-09-01","2017-08-31","http://www.nytimes.com/2017/08/31/movies/unlocked-review-noomi-rapace.html","R",0,"N/A","N/A","46","6.2"
"477","Unrest","2017-09-22","2017-09-21","http://www.nytimes.com/2017/09/21/movies/unrest-review.html","",0,"4 wins & 1 nomination.","N/A","N/A","5.0"
